Country;Year;Income_Inequality;Eco1;Eco2;Eco3;Energy1;Energy2;Energy3;Health1;Health2;Finan1;Finan2;Finan3;Finan4;Finan5;Governance;Poverty;Env;Other1;Other2;Other3
68;2012;L;72870.3737957496;33392.9729339598;90144.6510999407;50;100;90;8.7;1.969;0.579137682914734;917305.625;0.600671899187695;2.75122714042664;1.05390632152557;0.930580139160156;0;39.5821395212157;35.1062400831471;12.28;3.50744009017944
68;2013;L;72012.5495510667;36247.855567596;92245.5804952037;51;100;90;8.4;1.932;0.431633591651917;1033310.4375;0.615284862099113;2.811772108078;0.951285302639008;1.05230152606964;0;37.6028800771898;32.063390113225;12.15;4.07384014129639
68;2014;L;69723.7273748036;34339.3360609841;86028.9233522474;53;100;90;8.1;1.898;0.48955973982811;977517.25;0.649719251381173;2.87586069107056;0.921403527259827;0.940700650215148;0;37.1050343988277;27.6978144663127;12.31;3.60535001754761
68;2015;L;66984.9102002396;33702.2634572886;82121.8590565574;56;100;67;7.8;1.864;0.477899998426437;1043014;0.678071543410585;2.94375324249268;0.682321608066559;0.951725840568542;0;35.2904219503821;19.0641343344092;13.08;2.96745991706848
68;2016;L;64233.2622149736;31352.8343924029;90409.9057348362;61;100;67;7.4;1.827;0.531227111816406;1222947.75;0.687862228561234;3.01573419570923;0.585107505321503;0.731654822826385;0;33.5495686981102;15.9817678598717;0;2.96745991706848
68;2017;L;60551.0200448825;32953.2778134184;90896.8080942391;64;100;67;6.9;1.839;0.493441939353943;1340908.5;0.644491727535541;3.09211349487305;0.631104111671448;0.736953318119049;0;32.2566382287485;18.8986723864413;0;2.96745991706848
68;2018;L;60080.696551117;30563.3735047716;88897.29869374;67;100;67;6.5;1.848;0.471124559640884;1468342.25;0.707492985376201;3.17323040962219;0.64336484670639;0.625672340393066;0;31.4809674373955;23.9995278669173;0;2.80378007888794
68;2019;L;59672.6415484228;30515.2699644818;88446.7786690781;67;100;44;6.1;1.834;0.479179203510284;1599698.75;0.663484583785091;3.25945639610291;0.578918397426605;0.699964761734008;0;31.8772030129291;22.3739866660968;0;2.80378007888794
69;2010;H;8755.11328125;18110.8021915416;21756.2241777164;51;100;175.2;10.4;1.567;0.522267937660217;13374047;0.520982155796625;3.29807996749878;0.532834112644196;-0.601510107517242;18.5687029336354;11.3254009458404;13.6767287816453;33.7;3.88048410415649
69;2011;H;9124.4677734375;19980.9816112083;24582.1008291231;52;100;175.2;10.2;1.582;0.565660357475281;13575365;0.627714747683367;3.31262993812561;0.605140328407288;-0.601379692554473;17.8396531137335;11.884949695479;16.2675600700583;32.03;4.70892810821533
69;2012;H;9475.6826171875;21649.3453763997;26686.555565843;54;100;175.2;9.9;1.691;0.509380757808685;14212428;0.634512548938963;3.32732534408569;0.630074262619019;-0.533574044704437;17.9394795087219;11.7020653683345;14.293372457197;31.88;3.79310011863709
69;2013;H;9621.509765625;21323.647501696;26536.4842204648;55;100;175.2;9.5;1.707;0.490778595209122;14854667;0.612667776368008;3.34216713905334;0.614818274974822;-0.449865072965621;17.6860349973117;11.3770043056089;12.799885012616;32.21;3.76382994651794
69;2014;H;9520.9404296875;21143.0968911098;25642.9255675192;60;100;175.2;8.9;1.75;0.483943074941635;15546646;0.54715622647461;3.35715794563293;0.588870286941528;-0.187570467591285;16.4700219862636;11.2082077063911;12.4271978897589;31.04;4.01387977600098
69;2015;H;9313.013671875;19585.8201442098;23749.3768064663;61;95.5;160.5;8.2;1.777;0.462818592786789;16689168;0.386667880331679;3.37229919433594;0.51937472820282;-0.294513344764709;15.671776126377;11.0520055015768;9.761666714108;33.72;3.83402991294861
69;2016;H;9313.9677734375;19535.954346787;23729.3557849371;62;100;83;7.5;1.762;0.508737981319427;16978110;0.360778469516493;3.38759279251099;0.512936115264893;-0.285805225372314;15.4427749758574;10.8874269283473;8.19418914130003;0;3.76044011116028
69;2017;H;9473.1796875;20632.0745424991;25268.2689342537;64;100;83;6.9;1.621;0.469524651765823;17552050;0.413490276605561;3.40304088592529;0.545540750026703;-0.152871698141098;15.3843691428369;11.0351992095822;9.71546623895349;0;4.68990993499756
69;2018;H;9739.900390625;21208.1339570101;25769.0210985576;63;100;73;6.3;1.579;0.474252849817276;17642028;0.39163291922955;3.41864514350891;0.575293242931365;-0.0647217184305191;15.0188371871352;11.4965712497165;14.4734868157828;0;4.67819976806641
69;2019;H;9958.4609375;21737.0035738667;26376.9194739814;63;100;40.7;5.8;1.504;0.479031264781952;17784060;0.38367561693548;3.43440794944763;0.570052206516266;0.0652898773550987;14.6023791641124;11.7971941673637;12.2071140110196;0;3.517245054245
70;2010;H;583.557377635464;1510.14912147967;1782.76527826088;8;9.69999980926514;34;63.8;4.532;0.0980802625417709;24776.30859375;0.451783029324851;1.59506714344025;0.293466478586197;-0.1532414406538;68.8063267163857;0.0682585977285353;6.48655252910732;31.5;4.63384008407593
70;2011;H;614.042002526488;1624.80695328364;1908.87684189647;9;10.8000001907349;34;58.6;4.357;0.108296066522598;26983.802734375;0.460846620610155;1.62839686870575;0.312709182500839;-0.0140340896323323;66.6432429901632;0.0695920140169191;6.99565680326328;29.53;4.38598012924194
70;2012;H;650.895042652023;1695.15029044028;2004.29938681512;13;17.5;34;55.2;4.233;0.110005147755146;28207.97265625;0.487126000321225;1.66394627094269;0.324064463376999;-0.092332124710083;65.0036450990466;0.0751019295161939;6.39423290634701;28.47;4.4235200881958
70;2013;H;665.590001088917;1667.64349490563;1967.92671432362;19;15.1999998092651;34;52.2;4.159;0.108583509922028;30641.982421875;0.468416261780689;1.70189893245697;0.314233839511871;-0.0183829274028539;63.9728033487754;0.0814036130740856;6.50475580749802;27.56;4.7449197769165
70;2014;H;690.035638748601;1805.3627427341;2098.79837990803;28;19.7999992370605;34;49.8;4.112;0.109000481665134;32343.34765625;0.435309723273233;1.73419630527496;0.324719429016113;-0.048807293176651;63.6502394776679;0.0812705266531034;6.4521550362679;26.68;4.19878005981445
70;2015;H;733.441121804147;1936.47037129287;2240.61155700409;43;22.7999992370605;34;47.7;4.081;0.115257896482945;33254.4296875;0.416213160557196;1.76664412021637;0.338727951049805;-0.107887826859951;62.0525651195084;0.0927977157696768;5.77813915585401;28.05;3.64915990829468
70;2016;H;758.475294777665;1947.97087627145;2262.29844187638;55;29.3700008392333;34;46.1;4.06;0.115242414176464;39476.73046875;0.395650051007765;1.80117726325989;0.324548602104187;0.0469172224402427;62.3330916942064;0.0962207458130356;5.99862102587479;0;3.4367299079895
70;2017;H;769.326034757878;1906.40830194047;2203.42902924273;61;34.0999984741211;34;44.6;4.027;0.124498456716538;40978.515625;0.390986139042785;1.83796072006226;0.316808581352234;0.209884405136108;64.0201060869953;0.102654554383161;6.01492971463291;0;3.12646007537842
70;2018;H;815.234930662625;2015.45511486168;2321.44332752193;60;36.9681510925292;30;43.4;3.994;0.1496891528368;44356.93359375;0.366353282923436;1.87717545032501;0.315204799175262;0.117395237088203;61.9824063444645;0.111987033315544;4.71387568610559;0;3.07375001907349
